"tot_ext","pers_basals","pers_night","pers_cresp","pers_day","basal_bioms","night_biom","cresp_biom","day_biom","x","light","temperature","light.effect","S","replicate","connectance"
0.233333333333333,0.25,0.333333333333333,0.153846153846154,0.166666666666667,11.1733792106464,0.388611504918335,0.0654100689292646,0.305294700549383,0.2,0.2,20,"N",1,1,0.274166666666667
0.233333333333333,0.25,0.333333333333333,0.153846153846154,0.166666666666667,11.2082761995981,0.38280332014288,0.0723405292021042,0.303515031624188,0.25,0.25,20,"N",1,1,0.274166666666667
0.233333333333333,0.25,0.333333333333333,0.153846153846154,0.166666666666667,11.2499597204311,0.374188698196605,0.0788272526030365,0.304918069026149,0.3,0.3,20,"N",1,1,0.274166666666667
0.233333333333333,0.25,0.333333333333333,0.153846153846154,0.166666666666667,11.298254004858,0.362529580472987,0.0842304918371868,0.310344387872705,0.35,0.35,20,"N",1,1,0.274166666666667
0.233333333333333,0.25,0.333333333333333,0.153846153846154,0.166666666666667,11.3518549003997,0.348332120072809,0.0880858277603344,0.319659014141218,0.4,0.4,20,"N",1,1,0.274166666666667
0.216666666666667,0.25,0.266666666666667,0.153846153846154,0.166666666666667,11.5306914626731,0.23952573472669,0.0940534134761582,0.369565912190645,0.45,0.45,20,"N",1,1,0.274166666666667
0.2,0.25,0.266666666666667,0.153846153846154,0.0833333333333333,11.5985517960125,0.218537867438602,0.0966176846227755,0.378888839604692,0.5,0.5,20,"N",1,1,0.274166666666667
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,"C",1,1,0.274166666666667
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,15,"C",1,1,0.274166666666667
0.95,1,0.8,1,1,8.223670300261,1.90679424589246,1.57637102930077,0.653537746904331,0.1,0.1,15,"C",1,1,0.274166666666667
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,15,"C",1,1,0.274166666666667
0.933333333333333,1,0.733333333333333,1,1,8.48501949204246,2.53339595209131,1.51418193647972,0.542516924893556,0.2,0.2,15,"C",1,1,0.274166666666667
0.95,1,0.8,1,1,8.45577198648935,2.58981682197402,1.39083860799309,0.562643214405036,0.25,0.25,15,"C",1,1,0.274166666666667
0.933333333333333,1,0.8,0.923076923076923,1,8.42907141988825,2.61498567232455,1.29423735000259,0.580686212549185,0.3,0.3,15,"C",1,1,0.274166666666667
0.933333333333333,1,0.8,0.923076923076923,1,8.41216930062249,2.62863054564856,1.20605230393973,0.597642788232998,0.35,0.35,15,"C",1,1,0.274166666666667
0.933333333333333,1,0.8,0.923076923076923,1,8.40449252127822,2.63423203379461,1.12404082006187,0.613529174926406,0.4,0.4,15,"C",1,1,0.274166666666667
0.933333333333333,1,0.8,0.923076923076923,1,8.40394737303712,2.6323885637952,1.04876921564747,0.628303072129866,0.45,0.45,15,"C",1,1,0.274166666666667
0.933333333333333,1,0.8,0.923076923076923,1,8.40829189968294,2.62313779119098,0.981418177427026,0.641981059427138,0.5,0.5,15,"C",1,1,0.274166666666667
0.1,0.15,0,0.230769230769231,0,6.11819209077798,0,0.219564402142579,0,0,0,20,"C",1,1,0.274166666666667
0.116666666666667,0.15,0.0666666666666667,0.230769230769231,0,6.81135248155392,0.0389598529939549,0.224953563802976,0,0.05,0.05,20,"C",1,1,0.274166666666667
0.116666666666667,0.15,0.0666666666666667,0.230769230769231,0,6.73419349450644,0.0394523071181379,0.223775088524402,0,0.1,0.1,20,"C",1,1,0.274166666666667
0.116666666666667,0.15,0.0666666666666667,0.230769230769231,0,6.65303766123013,0.0398807367388135,0.223016820508877,0,0.15,0.15,20,"C",1,1,0.274166666666667
0.1,0.15,0.0666666666666667,0.153846153846154,0,6.56941942806454,0.0402053842142397,0.222350703715912,0,0.2,0.2,20,"C",1,1,0.274166666666667
0.1,0.15,0.0666666666666667,0.153846153846154,0,6.48180600536405,0.0403531850459534,0.222496690079297,0,0.25,0.25,20,"C",1,1,0.274166666666667
0.1,0.15,0.0666666666666667,0.153846153846154,0,6.39333998348323,0.0402526325436119,0.222998000049024,0,0.3,0.3,20,"C",1,1,0.274166666666667
0.1,0.15,0.0666666666666667,0.153846153846154,0,6.30642123598354,0.0398160368576152,0.223853786049696,0,0.35,0.35,20,"C",1,1,0.274166666666667
0.1,0.15,0.0666666666666667,0.153846153846154,0,6.22433243451633,0.0389586273924643,0.225020473090112,0,0.4,0.4,20,"C",1,1,0.274166666666667
0.1,0.15,0.0666666666666667,0.153846153846154,0,6.1508691079931,0.0376243317099926,0.226395517675612,0,0.45,0.45,20,"C",1,1,0.274166666666667
0.1,0.15,0.0666666666666667,0.153846153846154,0,6.08948262216338,0.0358153944467713,0.227820048347541,0,0.5,0.5,20,"C",1,1,0.274166666666667
0.85,0.65,0.866666666666667,1,1,9.60806812006842,0.768665536965491,0.560347243120579,0.582630067547834,0,0,15,"C.N",1,1,0.274166666666667
0.85,0.65,0.866666666666667,1,1,9.61501679797053,0.759020120863131,0.579520244690003,0.578642377342085,0.05,0.05,15,"C.N",1,1,0.274166666666667
0.833333333333333,0.65,0.8,1,1,9.62188189406735,0.746854109150378,0.602627801170091,0.579289468422739,0.1,0.1,15,"C.N",1,1,0.274166666666667
0.833333333333333,0.65,0.8,1,1,9.63113646187543,0.738027828750084,0.623722177546262,0.574016565437493,0.15,0.15,15,"C.N",1,1,0.274166666666667
0.833333333333333,0.65,0.8,1,1,9.64078798796339,0.730645170521172,0.64437650904557,0.569702223212945,0.2,0.2,15,"C.N",1,1,0.274166666666667
0.833333333333333,0.65,0.8,1,1,9.65001705714045,0.725449276417481,0.66372181121328,0.567221829693281,0.25,0.25,15,"C.N",1,1,0.274166666666667
0.833333333333333,0.65,0.8,1,1,9.65787956213757,0.723170104522787,0.681096922194823,0.567320036419496,0.3,0.3,15,"C.N",1,1,0.274166666666667
0.816666666666667,0.65,0.733333333333333,1,1,9.66464348666987,0.719144911087585,0.701175064290534,0.57265094153893,0.35,0.35,15,"C.N",1,1,0.274166666666667
